                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.59225,                0.52669,                 1.1473,                0.92323,                0.88584,                0.94326,                0.75073,                0.79282,                0.54433,                 1.2586,             7.8591e-05,             7.8591e-05,             7.8591e-05
                     81,                0.59032,                 0.5258,                 1.1405,                0.90039,                0.90018,                0.94202,                0.74932,                0.79585,                0.54772,                 1.2674,             7.5175e-05,             7.5175e-05,             7.5175e-05
                     82,                0.58399,                0.52421,                 1.1388,                0.89599,                0.90555,                0.94181,                0.75005,                0.79676,                0.54723,                 1.2594,              7.176e-05,              7.176e-05,              7.176e-05
                     83,                0.58363,                0.52044,                 1.1356,                0.90928,                0.90248,                0.94132,                0.74813,                 0.8059,                0.55546,                  1.276,             6.8344e-05,             6.8344e-05,             6.8344e-05
                     84,                 0.5832,                0.51703,                 1.1309,                0.90857,                0.89824,                0.94148,                0.75254,                0.79192,                0.54672,                 1.2553,             6.4929e-05,             6.4929e-05,             6.4929e-05
                     85,                0.57983,                0.50725,                 1.1299,                0.90806,                0.89484,                0.94387,                0.75478,                0.79684,                0.54009,                 1.2636,             6.1514e-05,             6.1514e-05,             6.1514e-05
                     86,                0.57193,                0.51075,                 1.1271,                0.90769,                0.90146,                0.94391,                0.75556,                0.79778,                 0.5346,                 1.2614,             5.8098e-05,             5.8098e-05,             5.8098e-05
                     87,                 0.5822,                 0.5146,                  1.134,                0.90492,                0.89824,                0.94535,                0.75492,                0.79702,                0.53533,                 1.2531,             5.4683e-05,             5.4683e-05,             5.4683e-05
                     88,                0.58383,                0.51029,                 1.1342,                0.91552,                0.90359,                0.94709,                 0.7548,                0.80343,                0.53994,                 1.2681,             5.1267e-05,             5.1267e-05,             5.1267e-05
                     89,                0.57661,                0.50377,                 1.1287,                0.89685,                0.91607,                0.94816,                0.75644,                0.79659,                0.53533,                 1.2574,             4.7852e-05,             4.7852e-05,             4.7852e-05
                     90,                0.57565,                0.50333,                 1.1284,                0.88983,                0.92159,                0.94776,                0.75758,                0.79698,                0.53187,                 1.2541,             4.4436e-05,             4.4436e-05,             4.4436e-05
                     91,                0.52535,                0.40972,                 1.1361,                0.89415,                0.92466,                0.94636,                0.75478,                0.79469,                0.53287,                 1.2643,              4.102e-05,              4.102e-05,              4.102e-05
                     92,                0.51022,                0.38248,                 1.1282,                0.89905,                0.91891,                0.94892,                0.75413,                0.79269,                0.53484,                 1.2651,             3.7605e-05,             3.7605e-05,             3.7605e-05
                     93,                0.50392,                0.37116,                 1.1189,                 0.9052,                 0.9132,                0.94851,                0.75409,                0.79077,                0.53308,                 1.2639,             3.4189e-05,             3.4189e-05,             3.4189e-05
                     94,                0.49397,                 0.3584,                 1.1129,                0.89926,                0.91108,                0.94995,                0.75753,                0.78906,                 0.5343,                 1.2673,             3.0774e-05,             3.0774e-05,             3.0774e-05
                     95,                0.49035,                0.36042,                 1.1141,                0.90674,                0.90703,                 0.9485,                0.75531,                0.78995,                0.53507,                 1.2684,             2.7358e-05,             2.7358e-05,             2.7358e-05
                     96,                0.49062,                0.35919,                 1.1131,                 0.9058,                0.90668,                0.94958,                0.75652,                0.79015,                0.53179,                 1.2671,             2.3943e-05,             2.3943e-05,             2.3943e-05
                     97,                0.48597,                0.35252,                 1.1038,                 0.9095,                0.91015,                0.94993,                 0.7571,                 0.7926,                  0.531,                 1.2721,             2.0528e-05,             2.0528e-05,             2.0528e-05
                     98,                 0.4856,                0.34988,                 1.1052,                0.91805,                0.90577,                0.94957,                0.76001,                0.78783,                0.52763,                 1.2711,             1.7112e-05,             1.7112e-05,             1.7112e-05
                     99,                0.48095,                0.34761,                 1.1004,                0.91377,                0.90207,                0.94962,                0.75877,                0.78922,                0.52972,                 1.2714,             1.3697e-05,             1.3697e-05,             1.3697e-05
                    100,                0.47955,                0.34808,                 1.0997,                0.91996,                0.90062,                0.95039,                0.75987,                0.78851,                0.52984,                 1.2716,             1.0281e-05,             1.0281e-05,             1.0281e-05
